# Catches of hooded seals. Used at St. John's 2005
# year pups adults
1946 8482  3083
1947 26059 12535
1948 23392 9371
1949 48698 7728
1950 49130 18568
1951 47487 35893
1952 18098 21864
1953 21864 4160
1954 53321 12680
1955 45266 11511
1956 31564 9224
1957 13238 8951
1958 41497 23334
1959 23305 5782
1960 28213 6031
1961 47250 31770
1962 29422 23398
1963 20291 7456
1964 23930 9407
1965 28787 12312
1966 34016 7072
1967 21390 20351
1968 11795 2168
1969 15870 7057
1970 25208 12507
1971 19572 10678
1972 16052 4164
1973 22455 3994
1974 16595 9800
1975 18905 8290
1976 4831 2465
1977 14198 4635
1978 16356 2680
1979 18211 5334
1980 9441 1792
1981 10736 1338
1982 12593 3244
1983 419 193
1984 99 483
1985 1886 233
1986 3810 960
1987 9111 2526
1988 7035 2152
1989 34 147
1990 26 1210
1991 458 2084
1992 500 8293
1993 0 384
1994 23 4721
1995 368 565
1996 575 236
1997 2765 169
1998 5597 754
1999 3525 921
2000 1362 623 
2001 3129 691	
2002 6456 735
2003 5206 77
2004 4217 664	
2005 3633 193	
2006 3079 568
2007 27 35
2008 9 35
2009 396 17
2010 14 164 
2011 15 4
2012 15 6
2013 15 7
2014 22 0
2015 5 6
2016 10 8
2017 14 3
2018 9 8
2019 14 8
