#Year Estimate CV
1998 286260 0.150
2000 322474 0.098
2000 339710 0.105
2002 330000 0.103
2003 328000 0.181
2004 231811 0.190  
2004 234000 0.205
2005 122658 0.162
2008 123104 0.199
2009 157000 0.108
2010 163032 0.198
2013 128786 0.237
