Year North.Sea Inner.Hebrides Outer.Hebrides Orkney
1984 1325 1332 7594 4741
1985 1711 1190 8165 5199
1986 1834 1711 8455 5796
1987 1867 2002 8777 6389
1988 1474 1960 8689 5948
1989 1922 1956 9275 6773
1990 2278 2032 9801 6982
1991 2375 2411 10617 8653
1992 2436 2816 12215 9854
1993 2710 2923 11915 11034
1994 2652 2719 12054 11851
1995 2757 3050 12713 12670
1996 2938 3117 13176 14531
1997 3698 3076 11946 14395
1998 3989 3087 12434 16625
1999 3380 2787 11759 15720
2000 4303 3223 13472 16546
2001 4134 3032 12427 18196
2002 4520 3096 11248 17952
2003 4870 3386 12741 18652
2004 5015 3385 12319 19123
2005 5232 3427 12397 18126
2006 5484 3470 11719 19332
2007 5771 3118 11342 19184
2008 6653 3396 12712 18765
2009 7667 3396 12113 19168
2010 8365 3391 12846 20330
2011 -1 -1 -1 -1
2012 10180 4027 14134 22932
2013 -1 -1 -1 -1
2014 12487 4054 14331 23776
2015 -1 -1 -1 -1
2016 14581 4544 15732 23821
2017 -1 -1 -1 -1
2017 -1 -1 -1 -1

