YEAR,MONTH,VALUE
1950,1,0.11
1950,2,-0.035
1950,3,-0.107
1950,4,-0.131
1950,5,-0.059
1950,6,-0.044
1950,7,-0.056
1950,8,0.019
1950,9,0.009
1950,10,-0.091
1950,11,0.079
1950,12,0.087
1951,1,0.102
1951,2,-0.003
1951,3,0.011
1951,4,0.168
1951,5,0.171
1951,6,0.288
1951,7,0.421
1951,8,0.302
1951,9,0.248
1951,10,0.258
1951,11,0.174
1951,12,0.174
1952,1,0.171
1952,2,0.181
1952,3,0.229
1952,4,0.19
1952,5,0.179
1952,6,0.382
1952,7,0.371
1952,8,0.402
1952,9,0.36
1952,10,0.353
1952,11,0.249
1952,12,0.339
1953,1,0.264
1953,2,0.184
1953,3,0.14
1953,4,0.312
1953,5,0.341
1953,6,0.274
1953,7,0.342
1953,8,0.257
1953,9,0.278
1953,10,0.147
1953,11,0.243
1953,12,0.256
1954,1,0.226
1954,2,0.094
1954,3,0.099
1954,4,-0.015
1954,5,0.068
1954,6,0.098
1954,7,-0.046
1954,8,-0.016
1954,9,-0.012
1954,10,-0.034
1954,11,-0.028
1954,12,-0.053
1955,1,0.074
1955,2,0.039
1955,3,0.04
1955,4,0.094
1955,5,0.175
1955,6,0.192
1955,7,0.267
1955,8,0.173
1955,9,0.201
1955,10,0.277
1955,11,0.384
1955,12,0.255
1956,1,0.185
1956,2,0.093
1956,3,0.012
1956,4,0.062
1956,5,-0.06
1956,6,-0.266
1956,7,-0.092
1956,8,-0.1
1956,9,-0.091
1956,10,-0.045
1956,11,-0.089
1956,12,0.017
1957,1,-0.083
1957,2,-0.108
1957,3,-0.021
1957,4,-0.076
1957,5,-0.123
1957,6,-0.014
1957,7,0.038
1957,8,0.2
1957,9,0.219
1957,10,0.147
1957,11,0.082
1957,12,0.077
1958,1,0.046
1958,2,0.187
1958,3,0.342
1958,4,0.344
1958,5,0.199
1958,6,0.219
1958,7,0.162
1958,8,0.159
1958,9,0.21
1958,10,0.149
1958,11,0.183
1958,12,0.217
1959,1,0.097
1959,2,0.112
1959,3,-0.03
1959,4,-0.006
1959,5,0.005
1959,6,-0.062
1959,7,-0.034
1959,8,0.01
1959,9,0.123
1959,10,0.11
1959,11,0.048
1959,12,0.107
1960,1,0.174
1960,2,0.214
1960,3,0.086
1960,4,0.094
1960,5,0.3
1960,6,0.316
1960,7,0.268
1960,8,0.332
1960,9,0.208
1960,10,0.293
1960,11,0.247
1960,12,0.135
1961,1,0.058
1961,2,0.078
1961,3,0.145
1961,4,0.224
1961,5,0.19
1961,6,0.029
1961,7,-0.022
1961,8,0.033
1961,9,0
1961,10,0.026
1961,11,0.064
1961,12,0.21
1962,1,0.146
1962,2,0.149
1962,3,0.162
1962,4,0.084
1962,5,0.02
1962,6,-0.075
1962,7,-0.011
1962,8,-0.067
1962,9,0.001
1962,10,0.062
1962,11,0.043
1962,12,0.187
1963,1,0.154
1963,2,0.162
1963,3,0.13
1963,4,0.1
1963,5,-0.088
1963,6,-0.051
1963,7,-0.039
1963,8,-0.077
1963,9,-0.206
1963,10,-0.075
1963,11,-0.061
1963,12,-0.064
1964,1,-0.079
1964,2,0.018
1964,3,0.036
1964,4,-0.15
1964,5,0.037
1964,6,0
1964,7,-0.148
1964,8,-0.238
1964,9,-0.224
1964,10,-0.275
1964,11,-0.17
1964,12,-0.125
1965,1,-0.202
1965,2,-0.181
1965,3,-0.081
1965,4,-0.101
1965,5,-0.103
1965,6,-0.131
1965,7,-0.192
1965,8,-0.214
1965,9,-0.226
1965,10,-0.252
1965,11,-0.28
1965,12,-0.127
1966,1,-0.08
1966,2,0.006
1966,3,-0.014
1966,4,0.039
1966,5,-0.003
1966,6,-0.049
1966,7,-0.06
1966,8,-0.048
1966,9,-0.004
1966,10,0.009
1966,11,-0.001
1966,12,0.076
1967,1,0.077
1967,2,0.084
1967,3,-0.038
1967,4,-0.02
1967,5,-0.191
1967,6,-0.265
1967,7,-0.235
1967,8,-0.169
1967,9,-0.101
1967,10,-0.104
1967,11,-0.239
1967,12,-0.157
1968,1,-0.251
1968,2,-0.203
1968,3,-0.213
1968,4,-0.16
1968,5,-0.128
