YEAR,MONTH,VALUE
1968,6,-0.267
1968,7,-0.234
1968,8,-0.218
1968,9,-0.155
1968,10,-0.118
1968,11,-0.113
1968,12,-0.132
1969,1,-0.068
1969,2,0.1
1969,3,0.202
1969,4,0.144
1969,5,0.006
1969,6,0.023
1969,7,0.089
1969,8,-0.106
1969,9,-0.112
1969,10,-0.19
1969,11,-0.129
1969,12,-0.037
1970,1,-0.015
1970,2,-0.053
1970,3,0.014
1970,4,0.015
1970,5,-0.051
1970,6,-0.187
1970,7,-0.205
1970,8,-0.146
1970,9,-0.143
1970,10,-0.201
1970,11,-0.245
1970,12,-0.214
1971,1,-0.251
1971,2,-0.297
1971,3,-0.315
1971,4,-0.418
1971,5,-0.331
1971,6,-0.368
1971,7,-0.354
1971,8,-0.44
1971,9,-0.371
1971,10,-0.24
1971,11,-0.248
1971,12,-0.313
1972,1,-0.323
1972,2,-0.385
1972,3,-0.444
1972,4,-0.331
1972,5,-0.474
1972,6,-0.493
1972,7,-0.38
1972,8,-0.388
1972,9,-0.307
1972,10,-0.291
1972,11,-0.282
1972,12,-0.355
1973,1,-0.378
1973,2,-0.398
1973,3,-0.349
1973,4,-0.269
1973,5,-0.174
1973,6,-0.18
1973,7,-0.108
1973,8,-0.138
1973,9,-0.136
1973,10,-0.22
1973,11,-0.214
1973,12,-0.243
1974,1,-0.28
1974,2,-0.288
1974,3,-0.406
1974,4,-0.528
1974,5,-0.504
1974,6,-0.452
1974,7,-0.519
1974,8,-0.472
1974,9,-0.51
1974,10,-0.512
1974,11,-0.43
1974,12,-0.365
1975,1,-0.277
1975,2,-0.343
1975,3,-0.314
1975,4,-0.35
1975,5,-0.393
1975,6,-0.3
1975,7,-0.276
1975,8,-0.189
1975,9,-0.34
1975,10,-0.358
1975,11,-0.345
1975,12,-0.326
1976,1,-0.389
1976,2,-0.446
1976,3,-0.498
1976,4,-0.431
1976,5,-0.492
1976,6,-0.488
1976,7,-0.311
1976,8,-0.189
1976,9,-0.197
1976,10,-0.297
1976,11,-0.42
1976,12,-0.436
1977,1,-0.393
1977,2,-0.337
1977,3,-0.187
1977,4,-0.221
1977,5,-0.174
1977,6,-0.111
1977,7,-0.11
1977,8,-0.149
1977,9,-0.236
1977,10,-0.228
1977,11,-0.147
1977,12,-0.209
1978,1,-0.11
1978,2,-0.151
1978,3,-0.162
1978,4,-0.199
1978,5,-0.208
1978,6,-0.337
1978,7,-0.28
1978,8,-0.231
1978,9,-0.194
1978,10,-0.211
1978,11,-0.123
1978,12,-0.186
1979,1,-0.196
1979,2,-0.155
1979,3,-0.232
1979,4,-0.241
1979,5,-0.121
1979,6,-0.045
1979,7,-0.098
1979,8,-0.119
1979,9,-0.113
1979,10,-0.091
1979,11,-0.089
1979,12,-0.063
1980,1,-0.005
1980,2,-0.081
1980,3,-0.142
1980,4,-0.004
1980,5,0.126
1980,6,0.105
1980,7,0.047
1980,8,0.02
1980,9,-0.011
1980,10,-0.064
1980,11,-0.2
1980,12,-0.252
1981,1,-0.18
1981,2,-0.179
1981,3,0.003
1981,4,-0.093
1981,5,-0.082
1981,6,-0.06
1981,7,-0.093
1981,8,-0.113
1981,9,-0.034
1981,10,-0.185
1981,11,-0.135
1981,12,-0.005
1982,1,-0.079
1982,2,-0.077
1982,3,-0.079
1982,4,-0.181
1982,5,-0.19
1982,6,-0.182
1982,7,-0.227
1982,8,-0.307
1982,9,-0.306
1982,10,-0.369
1982,11,-0.415
1982,12,-0.378
1983,1,-0.296
1983,2,-0.102
1983,3,0.083
1983,4,0.061
1983,5,-0.046
1983,6,-0.052
1983,7,-0.013
1983,8,-0.156
1983,9,-0.214
1983,10,-0.194
1983,11,-0.156
1983,12,-0.001
1984,1,-0.105
1984,2,-0.086
1984,3,-0.123
1984,4,-0.156
1984,5,-0.164
1984,6,-0.323
1984,7,-0.264
1984,8,-0.224
1984,9,-0.207
1984,10,-0.342
1984,11,-0.423
1984,12,-0.316
1985,1,-0.353
1985,2,-0.328
1985,3,-0.355
1985,4,-0.399
1985,5,-0.336
1985,6,-0.127
1985,7,-0.151
1985,8,-0.28
1985,9,-0.246
1985,10,-0.244
1985,11,-0.294
1985,12,-0.335
1986,1,-0.342
1986,2,-0.274
1986,3,-0.291
1986,4,-0.323
1986,5,-0.227
1986,6,-0.26
1986,7,-0.247
1986,8,-0.271
1986,9,-0.218
1986,10,-0.317
1986,11,-0.396
1986,12,-0.37
1987,1,-0.277
1987,2,-0.216
1987,3,-0.032
1987,4,0.03
1987,5,0.069
1987,6,0.204
1987,7,0.281
1987,8,0.281
1987,9,0.195
1987,10,0.048
1987,11,-0.069
1987,12,0.044
1988,1,-0.041
1988,2,-0.116
1988,3,-0.01
1988,4,0.051
1988,5,0.137
1988,6,0.164
1988,7,0.108
1988,8,-0.01
1988,9,-0.097
1988,10,-0.173
1988,11,-0.149
1988,12,-0.166
1989,1,-0.223
1989,2,-0.159
1989,3,-0.256
1989,4,-0.292
1989,5,-0.149
1989,6,0.088
1989,7,0.174
1989,8,0.11
1989,9,-0.097
1989,10,-0.126
1989,11,-0.152
1989,12,-0.156
1990,1,-0.302
1990,2,-0.164
1990,3,-0.181
1990,4,-0.12
1990,5,-0.061
1990,6,-0.059
1990,7,-0.025
1990,8,0.05
1990,9,0.144
1990,10,0.11
1990,11,-0.057
1990,12,-0.039
1991,1,-0.198
1991,2,-0.12
1991,3,-0.072
1991,4,-0.136
1991,5,-0.157
1991,6,-0.133
1991,7,-0.111
1991,8,-0.113
1991,9,-0.041
1991,10,-0.266
1991,11,-0.265
1991,12,-0.218
1992,1,-0.195
1992,2,-0.098
1992,3,-0.097
1992,4,-0.189
1992,5,-0.226
1992,6,-0.155
1992,7,-0.224
1992,8,-0.385
1992,9,-0.374
1992,10,-0.305
1992,11,-0.339
1992,12,-0.289
1993,1,-0.245
1993,2,-0.192
1993,3,-0.249
1993,4,-0.178
1993,5,-0.169
1993,6,-0.187
1993,7,-0.282
1993,8,-0.234
1993,9,-0.17
1993,10,-0.248
1993,11,-0.324
1993,12,-0.299
1994,1,-0.302
1994,2,-0.315
1994,3,-0.285
1994,4,-0.206
1994,5,-0.212
1994,6,-0.228
1994,7,-0.237
1994,8,-0.241
1994,9,-0.158
1994,10,-0.065
1994,11,-0.025
1994,12,-0.097
1995,1,-0.068
1995,2,-0.046
1995,3,0.01
1995,4,0.069
1995,5,0.265
1995,6,0.358
1995,7,0.307
1995,8,0.177
1995,9,0.047
1995,10,0.095
1995,11,0.12
1995,12,0.035
1996,1,-0.016
1996,2,-0.039
1996,3,-0.064
1996,4,0.003
1996,5,-0.072
1996,6,-0.13
1996,7,-0.111
1996,8,-0.015
1996,9,-0.008
1996,10,-0.151
1996,11,-0.18
1996,12,-0.162
1997,1,-0.098
1997,2,-0.042
1997,3,-0.002
1997,4,0.001
1997,5,0.033
1997,6,0.002
1997,7,0.054
1997,8,0.008
1997,9,0.102
1997,10,0.143
1997,11,0.044
1997,12,0.124
1998,1,0.123
1998,2,0.285
1998,3,0.315
1998,4,0.284
1998,5,0.377
1998,6,0.482
1998,7,0.481
1998,8,0.505
1998,9,0.405
1998,10,0.375
1998,11,0.31
1998,12,0.272
1999,1,0.044
1999,2,0.05
1999,3,0.062
1999,4,0.045
1999,5,0.155
1999,6,0.173
1999,7,0.191
1999,8,0.3
1999,9,0.178
1999,10,0.01
1999,11,-0.056
1999,12,0.008
2000,1,-0.091
2000,2,-0.045
2000,3,0.097
2000,4,0.035
2000,5,0.098
2000,6,-0.025
2000,7,0.065
2000,8,0.096
2000,9,0.095
2000,10,-0.047
2000,11,-0.06
2000,12,-0.134
2001,1,-0.134
2001,2,-0.034
2001,3,0.007
2001,4,-0.019
2001,5,-0.016
2001,6,0.191
2001,7,0.128
2001,8,0.17
2001,9,0.279
2001,10,0.244
2001,11,0.149
2001,12,0.206
2002,1,0.174
2002,2,0.158
2002,3,0.138
2002,4,0.02
2002,5,-0.055
2002,6,-0.124
2002,7,-0.073
2002,8,0.099
2002,9,0.073
2002,10,0.104
2002,11,0.012
2002,12,-0.003
2003,1,0.043
2003,2,-0.02
2003,3,0.105
2003,4,0.072
2003,5,0.144
2003,6,0.198
2003,7,0.269
2003,8,0.408
2003,9,0.445
2003,10,0.419
2003,11,0.216
2003,12,0.217
2004,1,0.203
2004,2,0.202
2004,3,0.151
2004,4,0.101
2004,5,-0.001
2004,6,0.17
2004,7,0.22
2004,8,0.309
2004,9,0.233
2004,10,0.235
2004,11,0.214
2004,12,0.18
2005,1,0.103
2005,2,0.118
2005,3,0.277
2005,4,0.285
2005,5,0.286
2005,6,0.32
2005,7,0.439
2005,8,0.433
2005,9,0.411
2005,10,0.23
2005,11,0.133
2005,12,0.209
2006,1,0.116
2006,2,0.068
2006,3,0.053
2006,4,0.19
2006,5,0.301
2006,6,0.326
2006,7,0.367
2006,8,0.394
2006,9,0.357
2006,10,0.327
2006,11,0.282
2006,12,0.164
2007,1,0.164
2007,2,0.21
2007,3,0.12
2007,4,0.152
2007,5,0.104
2007,6,0.081
2007,7,0.122
2007,8,0.047
2007,9,0.091
2007,10,0.15
2007,11,0.169
2007,12,0.103
2008,1,0.023
2008,2,0.121
2008,3,0.151
2008,4,0.035
2008,5,0.165
2008,6,0.249
2008,7,0.199
2008,8,0.168
2008,9,0.191
2008,10,0.095
2008,11,-0.006
2008,12,0.011
2009,1,-0.066
2009,2,-0.171
2009,3,-0.167
2009,4,-0.138
2009,5,-0.069
2009,6,0.114
2009,7,0.221
2009,8,0.145
2009,9,0.05
2009,10,0.157
2009,11,0.062
2009,12,0.075
2010,1,0.032
2010,2,0.17
2010,3,0.28
2010,4,0.418
2010,5,0.452
2010,6,0.44
2010,7,0.443
2010,8,0.518
2010,9,0.442
2010,10,0.316
2010,11,0.228
2010,12,0.2
2011,1,0.136
2011,2,0.1
2011,3,0.048
2011,4,0.084
2011,5,0.144
2011,6,0.171
2011,7,0.084
2011,8,0.139
2011,9,0.137
2011,10,0.055
2011,11,-0.078
2011,12,-0.052
2012,1,-0.073
2012,2,-0.003
2012,3,0.018
2012,4,0.072
2012,5,0.157
2012,6,0.292
2012,7,0.367
2012,8,0.423
2012,9,0.441
2012,10,0.322
2012,11,0.157
2012,12,0.133
2013,1,0.12
2013,2,0.108
2013,3,0.15
2013,4,0.129
2013,5,0.093
2013,6,0.038
2013,7,0.182
2013,8,0.186
2013,9,0.247
2013,10,0.339
2013,11,0.12
2013,12,0.029
2014,1,-0.07
2014,2,-0.051
2014,3,-0.089
2014,4,-0.102
2014,5,-0.009
2014,6,0.054
2014,7,0.214
2014,8,0.327
2014,9,0.302
2014,10,0.284
2014,11,0.057
2014,12,0.05
2015,1,-0.016
2015,2,-0.012
2015,3,-0.137
2015,4,-0.08
2015,5,0.037
2015,6,0.021
2015,7,0.124
2015,8,0.17
2015,9,0.292
2015,10,0.316
2015,11,0.178
2015,12,0.221
2016,1,0.223
2016,2,0.147
2016,3,0.18
2016,4,0.169
2016,5,0.336
2016,6,0.401
2016,7,0.424
2016,8,0.448
2016,9,0.449
2016,10,0.372
2016,11,0.382
2016,12,0.327
2017,1,0.217
2017,2,0.219
2017,3,0.159
2017,4,0.274
2017,5,0.306
2017,6,0.3
2017,7,0.294
2017,8,0.301
2017,9,0.342
2017,10,0.425
2017,11,0.343
2017,12,0.356
2018,1,0.164
2018,2,0.054
2018,3,0.123
2018,4,0.055
2018,5,-0.009
2018,6,-0.019
2018,7,0.009
2018,8,0.104
2018,9,0.154
2018,10,0.135
2018,11,-0.129
2018,12,-0.068
2019,1,-0.023
2019,2,0.072
2019,3,0.113
2019,4,0.115
2019,5,0.079
2019,6,0.165
2019,7,0.344
2019,8,0.33
2019,9,0.237
2019,10,0.15
2019,11,0.102
2019,12,0.156
2020,1,0.088
2020,2,0.348
2020,3,0.36
2020,4,0.361
2020,5,0.258
2020,6,0.264
2020,7,0.355
