YEAR;arctic;greenland;canpup;can1plus;by1plus;bypup
1952;1784;16400;198063;109045;0;0
1953;1784;16400;197975;74911;0;0
1954;1784;19150;175034;89382;0;0
1955;1784;15534;252297;81072;0;0
1956;1784;10973;341397;48013;0;0
1957;1784;12884;165438;80042;0;0
1958;1784;16885;140996;156790;0;0
1959;1784;8928;238832;81302;0;0
1960;1784;16154;156168;121182;0;0
1961;1784;11996;168819;19047;0;0
1962;1784;8500;207088;112901;0;0
1963;1784;10111;270419;71623;0;0
1964;1784;9203;266382;75281;0;0
1965;1784;9289;182758;51495;0;0
1966;1784;7057;251135;72004;0;0
1967;1784;4242;277750;56606;0;0
1968;1784;7116;156458;36238;0;0
1969;1784;6438;233340;55472;0;0
1970;1784;6269;217431;40064;15;53
1971;1784;5572;210579;20387;99;391
1972;1784;5994;116810;13073;141;480
1973;1784;9212;98335;25497;107;358
1974;1784;7145;114825;32810;41;141
1975;1784;6751.5;140638;33725;66;219
1976;1784;11956;132085;32917;169;923
1977;1784;12866;126982;28161;296;1281
1978;2129;16638;116190;45533;538;2381
1979;3620;17544.5;132458;28083;511;2799
1980;6350;15255;132421;37105;263;2454
1981;4672;22973.5;178394;23775;382;3539
1982;4881;26926.5;145274;21465;343;3442
1983;4881;24784.5;50058;7831;458;4504
1984;4881;25828.5;23922;7622;425;3683
1985;4881;20785;13334;5701;632;4225
1986;4881;26098.5;21888;4046;1042;7136
1987;4881;37859;36350;10446;1978;11118
1988;4881;40414.75;66972;27074;1391;7154
1989;4881;42970.5;56346;8958;799;9457
1990;4881;45526.25;34402;25760;921;2700
1991;4881;48082;42382;10206;615;9074
1992;4881;50637.75;43866;24802;6507;18969
1993;4881;56319;16401;10602;7596;18876
1994;4881;57373;25223;36156;10708;36549
1995;4881;62749;34106;31661;6273;14121
1996;4881;73947;184856;58050;18403;10798
1997;2500;68815.5;220476;43734;5132;13737
1998;1000;81272;251403;31221;995;3646
1999;500;93117;237644;6908;6312;9799
2000;400;98458.5;85035;7020;1611;9736
2001;600;85427.5;214754;11739;4847;14628
2002;1000;66734.5;297764;14603;3837;5492
2003;1000;66149;280174;9338;1881;3486
2004;1000;70585.5;353553;12418;3890;8703
2005;1000;91695.5;323800;6029;3807;8518
2006;1000;92210;346426;8441;3816;8539
2007;1000;82836;221488;3257;3845;8602
2008;1000;80556;217565;285;3924;8780
2009;1000;72142;76688;0;3946;8829
2010;1000;90014;68654;447;3884;8691
2011;1000;74013;40371;18;3883;8688
2012;1000;59769;71319;141;3883;8688
2013;1000;81196;90703;0;3883;8688
2014;1000;63059;54829;1;3883;8688
2015;1000;78749;35304;2;3883;8688
2016;1000;78749;66813;58;3883;8688
2017;1000;78749;80120;809;3883;8688
