"Year","TBiomass"
1946,3540230
1947,3724138
1948,3540230
1949,3448276
1950,6252874
1951,4919540
1952,6114943
1953,3402299
1954,2896552
1955,1655172
1956,2344828
1957,1839080
1958,1747126
1959,6436782
1960,6436782
1961,3494253
1962,3678161
1963,735632
1964,2068966
1965,2620690
1966,3632184
1967,4643678
1968,5011494
1969,5195402
1970,8045977
1971,5517241
1972,3908046
