# Catches of harp seals in the west ice. Used at St. John's 2005
# year pups adults
1946 14795 1411
1947 28909 7534
1948 36076 23725
1949 29361 5168
1950 23887 9484
1951 39922 12851
1952 37348 7388
1953 27346 6550
1954 23845 5271
1955 23862 13564
1956 8983 6894
1957 4847 11801
1958 25756 8158
1959 31339 6165
1960 29252 3921
1961 20019 7318
1962 27374 3914
1963 12945 3885
1964 5671 4780
1965 25138 5307
1966 23820 2446
1967 19708 1450
1968 20227 1103
1969 3992 1694
1970 16346 1750
1971 11149 0
1972 15100 82
1973 11858 0
1974 14628 74
1975 3981 1080
1976 7272 5283
1977 15305 1793
1978 16424 57
1979 14371 889
1980 5336 8186
1981 12625 2850
1982 8563 3333
1983 5005 2576
1984 199 1779
1985 535 31
1986 4505 256
1987 7961 6783
1988 11493 5670
1989 37 4392
1990 26 6266
1991 500 6195
1992 590 9043
1993 0 3520
1994 0 8193
1995 317 7889
1996 5649 778
1997 1962 199
1998 1707 177       
1999 608 195
2000 5610 5945           
2001 2267 725	
2002 1118 114
2003 161 2116
2004 8288 1607
2005 4680 1128
2006 2343 961
2007 6188 1640
2008 744 519
2009 5117 2918
2010 2823 1855
2011 5361 4773
2012 3740 1853
2013 13911 2122
2014 9741 2245
2015 2144 93
2016 426 1016
2017 1934 66
2018 1218 1485
2019 2168 3645

